


E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |------------------------------------------------------------------------------------------------                     
D |-------------------------------5-----4----------------------------------------/9-----7-----5----                     
A |-7-----7-----5-----7-----------------------------7-----7-----5-----7----------------------------                     
E |------------------------------------------------------------------------------------------------                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |------------------------------------------------------------------------------------------------                     
D |-------------------------------5-----4-----------------------------------------------------5----                     
A |-7-----7-----5-----7-----------------------------7-----7-----5-----7-----------------5-h7-------                     
E |-------------------------------------------------------------------------------5-h7-------------                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |------------------------------------------------------------------------------b14---~12---------                     
D |------------------------------------------------------------------------------------------------                     
A |-14----14----12----14----------17----16----------14----14----12----14---------------------------                     
E |-12----12----10----12----------15----14----------12----12----10----12---------------------------                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------------               
B |------------------------------------------------------------------------------------------------------               
G |------------------------------------------------------------------------------------------------------               
D |------------------------------------------------------------------------------------------------------               
A |-14----14----12----14----------17----16----------14----14----12----14----------------12h14p12h14p12h14               
E |-12----12----10----12----------15----14----------12----12----10----12---------/12---------------------               
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |-------------------------------------------------------------------------------12----12---------                     
G |-------------------------------------------------------------------------------12----12---------                     
D |------------------------------------------------------------------------------------------------                     
A |-14----14----12----14----------17----16----------14----14----12----14---------------------------                     
E |-12----12----10----12----------15----14----------12----12----10----12---------------------------                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |------------------------------------------------------------------------------------------------                     
D |------------------------------------------------------------------------------------------------                     
A |-14----14----12----14----------17----16----------14----14----12----14---------------------------                     
E |-12----12----10----12----------15----14----------12----12----10----12---------------------------                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |------------------------------------------------------------------------------------------------                     
D |------------------------------------------------------------------------------------------------                     
A |-------------10----12----12p10-------------------------------10----12----12p10------------------                     
E |-10h12-------------------------12----12----------10h12-------------------------12----12---------                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |-------------------------9-----9-----9-----------------------------------7-----7-----7----------                     
D |-------------------9-----------------------9-----------------------7-----------------------7----                     
A |-7-----7-----7-----------------------------------5-----5-----5----------------------------------                     
E |------------------------------------------------------------------------------------------------                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |-------------------------------------------------12----------12---------------------------------                     
G |------------------------------------------------b14---------b14---------------------------------                     
D |------------------------------------------------------------------------------------------------                     
A |-------------10----12----12p10------------------------------------------------------------------                     
E |-10h12-------------------------12----12---------------------------------------------------------                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |-------------------------5-----5----------------------------------------------------------------                     
D |-------------------5-----------------5----------------------------------------------------------                     
A |-3-----3-----3-----------------------------3-----2-----2-----2-----2-----2-----2-----2-----2----                     
E |------------------------------------------------------------------------------------------------                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |------------------------------------------------------------------------------------------------                     
D |------------------------------------------------------------------------------------------------                     
A |------------------------------------------------------------------------------------------------                     
E |-12----------------------------------------x-----10----------------------------------------x----                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |------------------------------------------------------------------------------------------------                     
D |------------------------------------------------------------------------------------------------                     
A |------------------------------------------------------------------------------------------------                     
E |-8-----------------------------------------x-----7-----------------------------------------x----                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |------------------------------------------------------------------------------------------------                     
D |------------------------------------------------------------------------------------------------                     
A |-------------------------------------------------------------------------------------------9----                     
E |-8-----------------------------------------x-----7-----------------------------------------7----                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |------------------------------------------------------------------------------------------------                     
D |------------------------------------------------------------------------------------------------                     
A |-10----------------------------------------10----9-----------------------------------------9----                     
E |-8-----------------------------------------8-----7-----------------------------------------7----                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------------------------------------------------------                     
B |------------------------------------------------------------------------------------------------                     
G |------------------------------------------------------------------------------------------------                     
D |------------------------------------------------------------------------------------------------                     
A |-10----------------------------------------10----9----------------------------------------------                     
E |-8-----------------------------------------8-----7----------------------------------------------                     
    $           *           *           *           $           *           *           *



E |------------------------------------------------                                                                     
B |------------------------------------------------                                                                     
G |------------------------------------------------                                                                     
D |------------------------------------------------                                                                     
A |------------------------------------------------                                                                     
E |------------------------------------------------                                                                     
    $           *           *           *




